id,isPartOf,title,kind,type,description,ownerName,ownerId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,area,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate
1116,null,null,"10.1-БУДІВЛІ","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1","БУДІВЛІ",кв. м.,"671.9",UA80000000000093317,null,Україна,м. Київ,null,null,null,"СОЛОМ'ЯНСЬКИЙ","ГАВЕЛА ВАЦЛАВА (ЛЕПСЕ ІВАНА БУЛЬВ.)",xxx,null,null,Невідомо,null,null,null,"РЕКОНСТРУКЦІЯ",null,2025-04-03
40465,null,"ІНШІ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"552.0",UA80000000000093317,"04070",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","БОРИЧІВ ТІК",xxx,null,null,Зареєстровано,"36520741",null,null,"АВАРІЙНИЙ",null,2025-04-03
45869,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"1778.0",UA80000000000093317,"253099",Україна,м. Київ,null,null,null,"ДАРНИЦЬКИЙ","ХАРКІВСЬКЕ ШОСЕ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
46032,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"1485.6",UA80000000000093317,"04208",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ"," ГЕОРГІЯ ГОНГАДЗЕ (РАДЯНСЬКОЇ УКРАЇНИ) ПРОСПЕКТ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
20014,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"261.0",UA80000000000093317,null,Україна,м. Київ,null,null,null,"СОЛОМ'ЯНСЬКИЙ","ОТЦЯ АНАТОЛІЯ ЖУРАКОВСЬКОГО (РАДЯНСЬКА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
26696,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Ж/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"3349.9",UA80000000000093317,null,Україна,м. Київ,null,null,null,"СОЛОМ'ЯНСЬКИЙ","ЛЮБОМИРА ГУЗАРА (КОМАРОВА КОСМОНАВТА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
45965,null,"АДМІНІСТРАТИВНЕ","10.1-БУДІВЛІ","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1","БУДІВЛІ",кв. м.,"2849.9",UA80000000000093317,null,Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ЄВГЕНА ЧИКАЛЕНКА (ПУШКІНСЬКА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
45969,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"2269.5",UA80000000000093317,"01601",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","ЗОЛОТОВОРІТСЬКА",xxx,null,null,Зареєстровано,"19169377800000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
18631,null,"ЛІТНІЙ СПАЛЬНИЙ КОРПУС НА 80 МІСЦЬ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","ДИТЯЧИЙ ОЗДОРОВЧИЙ ТАБІР",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"3380.0",UA80000000000093317,"07820",Україна,м. Київ,null,null,null,"БОРОДЯНСЬКИЙ","СМТ ПІСКІВКА, ЛІСОВА ПОЛЯНА",xxx,null,null,Невідомо,null,null,null,"АВАРІЙНИЙ",null,2025-04-03
45987,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"596.3",UA80000000000093317,"04071",Україна,м. Київ,null,null,null,"ПОДІЛЬСЬКИЙ","СКОВОРОДИ ГРИГОРІЯ",xxx,null,null,Зареєстровано,"1499667180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
