buildingId,isPartOf,buildingTitle,kind,type,description,ownercustodianName,ownercustodianId,balanceHolderName,balanceHolderId,userName,userId,dk018classId,dk018classDescription,unitName,buildingArea,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,registrationStatus,registrationId,registrationDate,constructionReadiness,condition,utilitiesAvailable,validityDate
52-45906,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"493.6",UA80000000000093317,"03142",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","БУЛЬВАР АКАДЕМІКА ВЕРНАДСЬКОГО",xxx,null,null,Зареєстровано,"1376405580000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
55-46009,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"1235.0",UA80000000000093317,"04214",Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","ГЕРОЇВ ДНІПРА",xxx,null,null,Зареєстровано,"2139439080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
66-45909,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"2773.7",UA80000000000093317,"03148",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","ПОКОТИЛА ВОЛОДИМИРА (КАРТВЕЛІШВІЛІ)",xxx,null,null,Зареєстровано,"2013952180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
81-46081,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"6654.9",UA80000000000093317,"02166",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ"," ЛІСОВИЙ ПРОСПЕКТ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
92-46023,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"2261.2",UA80000000000093317,"02032",Україна,м. Київ,null,null,null,"ДЕСНЯНСЬКИЙ","ЧЕРВОНОЇ КАЛИНИ (ВОЛОДИМИРА МАЯКОВСЬКОГО)",xxx,null,null,Зареєстровано,"2675353180000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-05
109-48921,null,"Багатофункціональні","10.6000.02.001-Багатофункціональні нежитлові приміщення","ПРИМІЩЕННЯ В Ж/Б","ІНШЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ СВЯТОШИНСЬКОГО РАЙОНУ М. КИЄВА""","39607507",null,null,"10.6000.02.001","Багатофункціональні нежитлові приміщення",кв. м.,"2970.2",UA80000000000093317,"03115",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","ГЕТЬМАНА КИРИЛА РОЗУМОВСЬКОГО (МИКОЛИ КРАСНОВА)",xxx,null,null,Зареєстровано,"1790719080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-01
130-46118,null,"МАГАЗИН","10.1220.10.023-Будівлі адміністративні","ПРИБУДОВАНЕ ПРИМІЩ. ДО Ж/Б","МАГАЗИН",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"513.9",UA80000000000093317,"04201",Україна,м. Київ,null,null,null,"ОБОЛОНСЬКИЙ","РОКОССОВСЬКОГО МАРШАЛА ПРОСП.",xxx,null,null,Зареєстровано,"2182921280000,2182871080000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-05-05
135-46180,null,"АДМІНІСТРАТИВНО-ПОБУТОВЕ","10.1220.10.023-Будівлі адміністративні","ПРИМІЩЕННЯ В Н/Б","АДМІНІСТРАТИВНО-ПОБУТОВЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"1250.0",UA80000000000093317,"252111",Україна,м. Київ,null,null,null,"ШЕВЧЕНКІВСЬКИЙ","МРІЇ (ТУПОЛЄВА АКАДЕМІКА)",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
145-48933,null,"ВІЛЬНЕ","10.6000.02.008-Вільні нежитлові приміщення","ПРИМІЩЕННЯ В Ж/Б","СКЛАД",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КЕРУЮЧА КОМПАНІЯ З ОБСЛУГОВУВАННЯ ЖИТЛОВОГО ФОНДУ СВЯТОШИНСЬКОГО РАЙОНУ М. КИЄВА""","39607507",null,null,"10.6000.02.008","Вільні нежитлові приміщення",кв. м.,"408.0",UA80000000000093317,"03115",Україна,м. Київ,null,null,null,"СВЯТОШИНСЬКИЙ","БЕРЕСТЕЙСЬКИЙ ПРОСПЕКТ (ПРОСПЕКТ ПЕРЕМОГИ)",xxx,null,null,Зареєстровано,"1285567480000",null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-01
166-45923,null,"АДМІНІСТРАТИВНЕ","10.1220.10.023-Будівлі адміністративні","ОКРЕМО СТОЯЧИЙ","АДМІНІСТРАТИВНЕ",Київська міська рада,22883141,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КИЇВЖИТЛОСПЕЦЕКСПЛУАТАЦІЯ""","03366500",null,null,"10.1220.10.023","Будівлі адміністративні",кв. м.,"685.2",UA80000000000093317,"02091",Україна,м. Київ,null,null,null,"ДАРНИЦЬКИЙ","ХАРКІВСЬКЕ ШОСЕ",xxx,null,null,Невідомо,null,null,null,"ЗАДОВІЛЬНИЙ",null,2025-04-03
