id,title,description,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressPostStreet,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,unitName,quantity,valueAmount,currencyCode,valuationDate,contractNumber,contractDateSigned,contractUrl,contractStatus,contractPurpose,contractRentalRate,contractCustodianName,contractCustodianId,contractUserName,contractUserId,contractPeriodStartDate,contractPeriodEndDate,contractPeriodMaxExtentDate,contractSchedule,contractValuePeriod,contractValueAmount,contractValueDescription,validityDate
64048-44658,"ГОЛОВНИЙ КОРПУС - ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ","ЛІКУВАЛЬНО-ДІАГНОСТИЧНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3",null,null,кв. м.,0.0,638 300.00,UAH,2009-08-31,"147",2009-12-22,null,"Договір закінчився, але заборгованність не погашено",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМАЦЕВТИЧНА КОМПАНІЯ ""ГАЛЕН""","35592105",2009-12-22,2011-12-22,null,null,Місяць,8 500.00,null,2025-04-02
63350-43951,"ПАТАНАТОМІЧНЕ ВІДДІЛЕННЯ","ПАТАНАТОМІЧНЕ ВІДДІЛЕННЯ",UA80000000000093317,"02660",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.Б",null,null,кв. м.,53.2,939 000.00,UAH,2024-01-31,"960-2",2016-01-22,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ПРИВАТНЕ ПІДПРИЄМСТВО ПРИВАТНА ФІРМА ""ПЕТРО ВЕЛИКИЙ""","21577614",2016-01-22,2029-04-16,null,null,Місяць,5 860.34,null,2025-04-02
79650-44658,"ГОЛОВНИЙ КОРПУС - ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ","ЛІКУВАЛЬНО-ДІАГНОСТИЧНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.А Блок Б",null,null,кв. м.,10.0,240 000.00,UAH,2019-11-30,"3205",2020-01-31,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛАЙФСЕЛЛ""","22859846",2020-01-01,2023-01-29,null,null,Місяць,12 387.59,null,2025-04-29
83074-44656,"ГОЛОВНИЙ КОРПУС - АДМІНІСТРАТИВНИЙ БЛОК (А)","АДМІНІСТРАТИВНЕ",UA80000000000093317,"252166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.А БЛОК А",null,null,кв. м.,2.0,23 594.77,UAH,2023-02-20,"3704",2023-03-30,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""","14360570",2023-03-30,2028-03-30,null,null,Місяць,238.31,null,2025-04-02
83075-44658,"ГОЛОВНИЙ КОРПУС - ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ","ЛІКУВАЛЬНО-ДІАГНОСТИЧНЕ",UA80000000000093317,null,Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.А БЛОК В",null,null,кв. м.,2.0,23 594.77,UAH,2023-02-20,"3706",2023-03-30,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""","14360570",2023-03-30,2028-03-30,null,null,Місяць,238.31,null,2025-04-02
81910-43954,"ГОСПОДАРЧИЙ КОРПУС, КАНАЛІЗАЦ.НАСОСНА СТАНЦІЯ","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,"02166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.ТТ,Л,РР",null,null,кв. м.,94.0,1 194.55,UAH,2020-10-31,"3522",2021-12-20,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЄНІ ВІДЕ ВІЧЕ""","33788121",2021-12-20,2026-12-20,null,null,Місяць,11.95,null,2025-04-14
81926-43950,"ХАРЧОБЛОК ТА ПРАЛЬНЯ","ХАРЧОБЛОК",UA80000000000093317,"02660",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.Ж",null,null,кв. м.,1288.0,5 815 332.88,UAH,2021-10-01,"3539",2022-01-06,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВПРОМСЕРВІС 1""","39796819",2022-01-06,2027-01-06,null,null,Місяць,120 000.33,null,2025-04-14
78327-44656,"ГОЛОВНИЙ КОРПУС - АДМІНІСТРАТИВНИЙ БЛОК (А)","АДМІНІСТРАТИВНЕ",UA80000000000093317,"252166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.А БЛОК А",null,null,кв. м.,116.0,3 326 500.00,UAH,2024-01-31,"752-2",2018-12-26,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГЕЛІАНТУС""","25404052",2018-12-26,2028-12-24,null,null,Місяць,23 598.92,null,2025-04-22
76300-43955,"ПРОХІДНА","ПРОХІДНА",UA80000000000093317,"02660",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.Н,О,С",null,null,кв. м.,9.25,226 000.00,UAH,2024-01-31,"2778",2020-01-15,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""8 200""","41473842",2018-06-12,2028-06-10,null,null,Місяць,1 425.65,null,2025-04-02
80432-43954,"ГОСПОДАРЧИЙ КОРПУС, КАНАЛІЗАЦ.НАСОСНА СТАНЦІЯ","ГОСПОДАРСЬКЕ ПРИМІЩЕННЯ",UA80000000000093317,"02166",Україна,м. Київ,null,null,Київ,"ДЕСНЯНСЬКИЙ","БРАТИСЛАВСЬКА","3 ЛІТ.ТТ,Л,РР",null,null,кв. м.,191.0,1 184 198.43,UAH,2020-12-01,"3331",2021-02-19,null,"Договір діє",null,null,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","00184945","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЄНІ ВІДЕ ВІЧЕ""","33788121",2021-02-19,2026-02-19,null,null,Місяць,11 841.98,null,2025-04-02
