ocid,title,url
203,"вільне",https://prozorro.sale/planning/RGL001-UA-20250519-82910
226,"Амбулаторія загальної практики сімейної медицини",https://prozorro.sale/planning/RGL001-UA-20230214-39543
227,"Амбулаторія загальної практики сімейної медицини",https://prozorro.sale/planning/RGL001-UA-20230214-04371
448,null,https://prozorro.sale/planning/RGL001-UA-20220927-86062
831,"Амбулаторія  загальної практики-сімейної медицини",https://prozorro.sale/planning/RGL001-UA-20230411-53508
1032,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20231011-10261
1092,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-73879
1140,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-99402
1141,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-99402
1147,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-74957
1165,"окремо розташ.буд.",https://prozorro.sale/planning/RGL001-UA-20230330-82929
1224,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-07774
1298,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20210818-99054
1525,"Амбулаторія загальної практики - сімейної медицини",https://prozorro.sale/planning/RGL001-UA-20230411-64749
1756,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLD001-UA-20220210-55284
1757,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20211215-51802
1761,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLD001-UA-20230508-35192
2182,"нежитлове приміщення в житловому (підвал)",https://prozorro.sale/planning/RGL001-UA-20250223-56828
2761,"СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20250508-31633
2868,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/UA-PS-2021-04-28-000008-2
3193,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/LLE001-UA-20211224-93180
3384,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-73830
3385,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-94821
3387,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-35515
3388,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-93141
3390,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-50883
3406,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-24342
3407,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-54106
3488,"поліція, вільне",https://prozorro.sale/planning/RGL001-UA-20210820-68141
3490,"установи, ГУ поліції, вільне",https://prozorro.sale/planning/RGL001-UA-20210809-68972
3697,"нежитлове приміщення, підвал",https://prozorro.sale/planning/RGL001-UA-20220125-39431
4094,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20240131-54515
4246,"перукарня, вільні",https://prozorro.sale/planning/RGL001-UA-20241125-27930
4451,"Теплиця",https://prozorro.sale/planning/RGL001-UA-20210601-10421
4453,"Теплиця",https://prozorro.sale/planning/RGL001-UA-20231009-35117
4632,"пр. в житл. буд",https://prozorro.sale/planning/RGL001-UA-20230414-23548
4633,"окремостояча (нежитлові приміщення-БПО)",https://prozorro.sale/planning/RGL001-UA-20240805-04535
4663,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20230421-86708
4739,"вільне",https://prozorro.sale/planning/RGL001-UA-20230501-09736
4783,"СМІТТЄЗБІРНИК",https://prozorro.sale/planning/RGL001-UA-20230603-88140
4875,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-22485
4881,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20230330-69285
4890,"сміттєзбірник",https://prozorro.sale/planning/RGL001-UA-20210223-82169
4893,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20220504-38725
4896,"нежитлові приміщення в житловому будинку",https://prozorro.sale/planning/RGL001-UA-20230330-16076
5175,"СЕРЕДНЯ ШКОЛА N 25",https://prozorro.sale/planning/RGL001-UA-20210708-18822
5179,"СЕРЕДНЯ ШКОЛА N 25",https://prozorro.sale/planning/RGL001-UA-20210803-29218
5180,"СЕРЕДНЯ ШКОЛА N 199",https://prozorro.sale/planning/RGL001-UA-20210803-72676
5182,"ШКОЛА №27",https://prozorro.sale/planning/RGL001-UA-20211005-57858
5183,"ДИТЯЧИЙ САДОК N 429",https://prozorro.sale/planning/RGL001-UA-20211119-71816
5184,"ДИТЯЧИЙ САДОК N 495",https://prozorro.sale/planning/RGL001-UA-20211119-95941
5365,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20240131-54515
5473,"Будівля адміністративно-побутового корпусу",https://prozorro.sale/planning/RGL001-UA-20240125-55445
