ocid,title,url
LLE001-UA-20231129-11160,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20231129-11160
LLE001-UA-20210921-74735,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20210921-74735
LLE001-UA-20220118-98114,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/LLE001-UA-20220118-98114
LLE001-UA-20220221-53457,"ГАРАЖ НА 5 АВТО, РЕМОНТНІ МАЙСТЕРНІ, СКЛАДСЬКІ ПРИМІЩЕННЯ",https://prozorro.sale/auction/LLE001-UA-20220221-53457
LLE001-UA-20220805-20136,"БУДИНОК МАЙСТЕРНІ N 1 (ЛІТЕРА ""В"")",https://prozorro.sale/auction/LLE001-UA-20220805-20136
LLE001-UA-20220928-05848,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20220928-05848
LLE001-UA-20220928-08454,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20220928-08454
LLE001-UA-20230227-03098,"СКЛАДСЬКІ ПРИМІЩЕННЯ РБД",https://prozorro.sale/auction/LLE001-UA-20230227-03098
LLE001-UA-20231011-41485,"ПІДЗЕМНИЙ пешехідний ПЕРЕХІД вестибулю 2 ст. Оболонь",https://prozorro.sale/auction/LLE001-UA-20231011-41485
LLE001-UA-20231121-68223,"ГРОМАДСЬКА ВБИРАЛЬНЯ",https://prozorro.sale/auction/LLE001-UA-20231121-68223
LLE001-UA-20231121-80680,"АДМІНІСТРАТИВНО-ПОБУТОВЕ",https://prozorro.sale/auction/LLE001-UA-20231121-80680
LLE001-UA-20231208-26808,"ДИТЯЧИЙ САДОК 239",https://prozorro.sale/auction/LLE001-UA-20231208-26808
LLE001-UA-20240408-76414,"нежитлова будівля літ. А",https://prozorro.sale/auction/LLE001-UA-20240408-76414
LLE001-UA-20240603-95881,"Лікувально-профілактичні",https://prozorro.sale/auction/LLE001-UA-20240603-95881
LLE001-UA-20240620-29017,"ПОШТОВЕ ВІДДІЛЕННЯ",https://prozorro.sale/auction/LLE001-UA-20240620-29017
LLE001-UA-20241223-25329,"Частина будівлі охолоджувального сховища літ.""К"" (гр.нежитлових прим.№5)",https://prozorro.sale/auction/LLE001-UA-20241223-25329
LLE001-UA-20250106-52277,"АПАРАТ УПРАВЛІННЯ",https://prozorro.sale/auction/LLE001-UA-20250106-52277
LLE001-UA-20250211-06011,"ШКОЛА N 153",https://prozorro.sale/auction/LLE001-UA-20250211-06011
RGL001-UA-20210212-95494,"склад, вільне",https://prozorro.sale/planning/RGL001-UA-20210212-95494
RGL001-UA-20210228-34521,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/planning/RGL001-UA-20210228-34521
RGL001-UA-20210331-41060,"нежитлове приміщення в житловому",https://prozorro.sale/planning/RGL001-UA-20210331-41060
RGL001-UA-20210726-08817,"СЕРЕДНЯ ШКОЛА N 1",https://prozorro.sale/planning/RGL001-UA-20210726-08817
RGL001-UA-20210726-78358,"СЕРЕДНЯ ШКОЛА N 61",https://prozorro.sale/planning/RGL001-UA-20210726-78358
RGL001-UA-20211103-71260,"громадська організація",https://prozorro.sale/planning/RGL001-UA-20211103-71260
RGL001-UA-20211129-88535,"ШКОЛА N 58",https://prozorro.sale/planning/RGL001-UA-20211129-88535
RGL001-UA-20221122-26274,"ШКОЛА N 95",https://prozorro.sale/planning/RGL001-UA-20221122-26274
RGL001-UA-20221122-75157,"ШКОЛА N 95",https://prozorro.sale/planning/RGL001-UA-20221122-75157
RGL001-UA-20230131-15679,"заклад культури, майстерня, вільні",https://prozorro.sale/planning/RGL001-UA-20230131-15679
RGL001-UA-20230202-65517,"громадська організація",https://prozorro.sale/planning/RGL001-UA-20230202-65517
RGL001-UA-20230216-02729,"Амбулаторія № 1",https://prozorro.sale/planning/RGL001-UA-20230216-02729
RGL001-UA-20230523-67162,"Лікувально-профілактичні",https://prozorro.sale/planning/RGL001-UA-20230523-67162
RGL001-UA-20230628-33436,"87,6 кв.м - об’єкт цивільної оборони (укриття); нежитлова будівля 14 літ.В - 20,3 кв.м",https://prozorro.sale/planning/RGL001-UA-20230628-33436
RGL001-UA-20230818-85940,"ШКОЛА N 153",https://prozorro.sale/planning/RGL001-UA-20230818-85940
RGL001-UA-20240125-72998,null,https://prozorro.sale/planning/RGL001-UA-20240125-72998
RGL001-UA-20240610-40108,"ШКОЛА 170",https://prozorro.sale/planning/RGL001-UA-20240610-40108
RGL001-UA-20241113-28325,"ТЕРАПЕВТИЧНИЙ КОРПУС (літ. Л)",https://prozorro.sale/planning/RGL001-UA-20241113-28325
UA-PS-2021-03-31-000015-2,"АДМІНІСТРАТИВНИЙ КОРПУС",https://prozorro.sale/auction/UA-PS-2021-03-31-000015-2
RGL001-UA-20210617-43068,"окремостояче",https://prozorro.sale/planning/RGL001-UA-20210617-43068
LLE001-UA-20221128-35542,"нежитлові приміщення, літ. А",https://prozorro.sale/auction/LLE001-UA-20221128-35542
5ca33480583142d1a8fb95a9d8bba795,"АДМІНІСТРАТИВНЕ",5ca33480583142d1a8fb95a9d8bba795
RGL001-UA-20240125-82636,"Будівля адміністративно-побутового корпусу",https://prozorro.sale/planning/RGL001-UA-20240125-82636
RGL001-UA-20241105-36683,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/planning/RGL001-UA-20241105-36683
LLE001-UA-20210727-32974,"нежитлові приміщення, літ. А",https://prozorro.sale/auction/LLE001-UA-20210727-32974
LLE001-UA-20210827-48364,"ПАВІЛЬЙОН МУЗИЧНО-ЛІТЕРАТУРНОЇ ВІТАЛЬНІ",https://prozorro.sale/auction/LLE001-UA-20210827-48364
LLE001-UA-20211022-93974,"нежитлові приміщення, літ. А",https://prozorro.sale/auction/LLE001-UA-20211022-93974
LLE001-UA-20211122-69141,"СЕКТОРИ №№2-4 ДЛЯ ОБСЛУГОВУВАННЯ ПАСАЖИРІВ",https://prozorro.sale/auction/LLE001-UA-20211122-69141
LLE001-UA-20211122-75560,"СЕКТОР №1 ДЛЯ ОБСЛУГОВУВАННЯ ПАСАЖИРІВ",https://prozorro.sale/auction/LLE001-UA-20211122-75560
LLE001-UA-20220105-60132,"Поліклініка",https://prozorro.sale/auction/LLE001-UA-20220105-60132
LLE001-UA-20220621-60603,null,https://prozorro.sale/auction/LLE001-UA-20220621-60603
LLE001-UA-20221216-02557,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20221216-02557
LLE001-UA-20221216-86973,"ВИРОБНИЧЕ",https://prozorro.sale/auction/LLE001-UA-20221216-86973
UA-PS-2020-11-03-000005-3,"Центральний тепловий пункт (група приміщень №1)",https://prozorro.sale/auction/UA-PS-2020-11-03-000005-3
UA-PS-2020-11-03-000006-3,"Центральний тепловий пункт (групи приміщень №№1,2,3)",https://prozorro.sale/auction/UA-PS-2020-11-03-000006-3
UA-PS-2020-11-03-000007-3,"Центральний тепловий пункт (група приміщень №№1,2)",https://prozorro.sale/auction/UA-PS-2020-11-03-000007-3
UA-PS-2020-11-03-000008-3,"Центральний тепловий пункт (група приміщень №1)",https://prozorro.sale/auction/UA-PS-2020-11-03-000008-3
UA-PS-2020-11-23-000065-2,"ТЕРАПЕВТИЧНИЙ КОРПУС",https://prozorro.sale/auction/UA-PS-2020-11-23-000065-2
UA-PS-2020-12-24-000059-3,"ПРОХІДНА",https://prozorro.sale/auction/UA-PS-2020-12-24-000059-3
UA-PS-2021-05-25-000132-1,"ЛАБОРАТОРНО-ДІАГНОСТИЧНИЙ КОРПУС",https://prozorro.sale/auction/UA-PS-2021-05-25-000132-1
LLD001-UA-20211119-90457,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLD001-UA-20211119-90457
LLD001-UA-20221229-97762,"РИНОК",https://prozorro.sale/auction/LLD001-UA-20221229-97762
